"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"190","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.533","-0.667"
"191","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.2664","0"
"192","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.39980000000000004","-1"
"193","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.06640000000000001","-0.334"
"194","5","4","6","5","4","2","2","2","2","0","0.5","true","0","-0.13340000000000002","-0.667"
"195","5","4","9","5","4","2","2","2","2","0","0.5","true","-0.333","-0.2664","-0.666"
"196","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.46640000000000004","0"
"197","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.06640000000000001","-0.667"
"199","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.1996","-0.334"
"200","5","4","4","5","4","2","2","2","2","0","0.5","true","-0.333","-0.13280000000000003","-0.666"
"198","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.667","-0.5338","-0.667"
"201","5","4","6","5","4","2","2","2","2","0","0.5","true","1","0.8668","0"
"202","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.3996","0"
"203","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.46620000000000006","0"
"205","5","4","7","5","4","2","2","2","2","0","0.5","true","-1","-1.0666","-1.333"
"204","5","4","10","5","4","2","2","2","2","0","0.5","true","0.667","0.6002000000000001","-0.33299999999999996"
"206","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.06659999999999999","0"
"207","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.26680000000000004","-0.667"
"208","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.19980000000000003","0"
