[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
9190;5;8;0.8;16;0.714;0.9426;0.643;[crit_agent crit_agent know_agent neuro_agent crit_agent f g h i j];TRUE;[0];[0];[3.4];[0.6 0.45 0.6];[0.55]
6103;5;8;0.8;25;0.714;0.9426;0.714;[agree_agent neuro_agent know_agent agree_agent crit_agent f g h i j];TRUE;[3.96 2.54];[0];[2.86];[0.84];[0.63]
1188;5;8;0.8;11;0.714;0.9426;0.857;[crit_agent neuro_agent crit_agent neuro_agent crit_agent f g h i j];TRUE;[0];[0];[2.79 3.53];[0.91 0.47 0.26];[0]
3930;5;8;0.8;20;0.714;0.9426;0.857;[talk_agent crit_agent crit_agent neuro_agent talk_agent f g h i j];TRUE;[0];[4.04 2.73];[6.46];[0.47 0.91];[0]
6402;5;8;0.8;18;0.714;0.9426;0.857;[agree_agent crit_agent crit_agent neuro_agent talk_agent f g h i j];TRUE;[6.83];[3.92];[5.64];[0.37 0.43];[0]
7372;5;8;0.8;23;0.714;0.9426;0.857;[talk_agent neuro_agent agree_agent talk_agent crit_agent f g h i j];TRUE;[8.49];[3.52 4.24];[3.17];[0.89];[0]
8593;5;8;0.8;23;0.714;0.9426;0.857;[crit_agent neuro_agent neuro_agent agree_agent talk_agent f g h i j];TRUE;[2.17];[2.49];[5.18 3.48];[0.58];[0]
6455;5;8;0.8;21;0.714;0.9428;0.643;[crit_agent talk_agent talk_agent know_agent crit_agent f g h i j];TRUE;[0];[2.19 4.20];[0];[0.31 0.74];[0.56]
8005;5;8;0.8;19;0.714;0.9428;0.643;[crit_agent agree_agent neuro_agent agree_agent know_agent f g h i j];TRUE;[5.3 6.76];[0];[2.2];[0.26];[0.61]
9334;5;8;0.8;16;0.714;0.9428;0.643;[agree_agent know_agent crit_agent crit_agent crit_agent f g h i j];TRUE;[3.38];[0];[0];[0.24 1.45 0.62];[0.64]
4145;5;8;0.8;19;0.714;0.9428;0.714;[know_agent crit_agent neuro_agent talk_agent talk_agent f g h i j];TRUE;[0];[2.62 2.91];[5];[0.64];[0.59]
1647;5;8;0.8;21;0.714;0.9428;0.857;[neuro_agent crit_agent talk_agent talk_agent neuro_agent f g h i j];TRUE;[0];[3.4 3.57];[3.24 2.00];[0.68];[0]
4151;5;8;0.8;13;0.714;0.9428;0.857;[crit_agent crit_agent crit_agent talk_agent talk_agent f g h i j];TRUE;[0];[4.12 3.01];[0];[0.7 0.23 0.54];[0]
8757;5;8;0.8;22;0.714;0.9565999999999999;0.7849999999999999;[talk_agent talk_agent talk_agent neuro_agent talk_agent f g h i j];TRUE;[0];[3.04 3.26 6.49 3.26];[2.78];[0];[0]
2496;5;8;0.8;18;0.714;0.9567999999999999;0.7849999999999999;[crit_agent agree_agent crit_agent neuro_agent crit_agent f g h i j];TRUE;[2.10];[0];[2.19];[0.51 0.3 0.75];[0]
8203;5;8;0.8;13;0.714;0.9568;0.643;[crit_agent neuro_agent know_agent crit_agent agree_agent f g h i j];TRUE;[3.2];[0];[2.93];[0.87 0.44];[0.55]
3599;5;8;0.8;19;0.714;0.9568;0.714;[know_agent crit_agent crit_agent neuro_agent neuro_agent f g h i j];TRUE;[0];[0];[3.52 2.96];[0.39 0.76];[0.63]
7748;5;8;0.8;20;0.714;0.9568;0.714;[crit_agent agree_agent agree_agent know_agent talk_agent f g h i j];TRUE;[3.07 3.00];[3.62];[0];[0.39];[0.55]
438;5;8;0.8;12;0.714;0.9568;0.857;[talk_agent crit_agent talk_agent crit_agent crit_agent f g h i j];TRUE;[0];[4.96 4.27];[0];[0.72 0.54 0.63];[0]
2439;5;8;0.8;12;0.714;0.9568;0.857;[crit_agent crit_agent neuro_agent crit_agent crit_agent f g h i j];TRUE;[0];[0];[5.67];[0.36 1.07 0.71 0.55];[0]
2557;5;8;0.8;14;0.714;0.9568;0.857;[crit_agent agree_agent crit_agent talk_agent crit_agent f g h i j];TRUE;[4.3];[4.44];[0];[0.6 0.95 0.29];[0]
4286;5;8;0.8;25;0.714;0.9568;0.857;[crit_agent crit_agent crit_agent crit_agent neuro_agent f g h i j];TRUE;[0];[0];[3.46];[0.42 0.54 0.21 0.34];[0]
4356;5;8;0.8;19;0.714;0.9568;0.857;[agree_agent crit_agent neuro_agent agree_agent talk_agent f g h i j];TRUE;[4.23 2.66];[3.49];[4.86];[0.97];[0]
4371;5;8;0.8;19;0.714;0.9568;0.9279999999999999;[talk_agent talk_agent agree_agent crit_agent crit_agent f g h i j];TRUE;[4.65];[5.59 3.75];[0];[0.35 0.44];[0]
